address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,dish_liked,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"44/1, Bull Temple Road, Basavanagudi, Bangalore",Cane-O-La,Yes,No,3.8,61,Basavanagudi,Quick Bites,Juices,"Sugarcane Juice, Popcorn",100,,Delivery,Banashankari
"162 , Kathreguppe Cross Road, 3rd Stage, Banashankari, Bangalore",Janahaar,Yes,No,3.8,70,Banashankari,Quick Bites,South Indian,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",100,"['2 Idly', '2 Idly 1 Vada', 'Vada', 'Rice Sambar', 'Curd Rice', '2 Idly', '2 Idly 1 Vada', 'Vada', 'Kharabath']",Delivery,Banashankari
"162 , Kathreguppe Cross Road, 3rd Stage, Banashankari, Bangalore",Janahaar,Yes,No,3.8,70,Banashankari,Quick Bites,South Indian,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",100,"['2 Idly', 'Rice Sambar', 'Curd Rice', '2 Idly', 'Kharabath']",Dine-out,Banashankari
"162 , Kathreguppe Cross Road, 3rd Stage, Banashankari, Bangalore",Janahaar,Yes,No,3.8,70,Banashankari,Quick Bites,South Indian,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",100,,Delivery,Basavanagudi
"Devatha Plaza, Residency Road, Bangalore",Rescafe,No,No,3.8,41,Residency Road,Quick Bites,Beverages,"Samosa, Tea",100,,Delivery,Brigade Road
"Devatha Plaza, Residency Road, Bangalore",Rescafe,No,No,3.8,41,Residency Road,Quick Bites,Beverages,"Samosa, Tea",100,,Dine-out,Brigade Road
"954, 24th Cross, 2nd Phase, JP Nagar, Bangalore",Taaza Mithai,Yes,No,3.8,47,JP Nagar,Sweet Shop,Mithai,Samosa,100,,Delivery,BTM
"Vishweswaraiah Road, BTM 6th Stage, BTM, Bangalore",Momo Junction,Yes,No,3.8,30,BTM,Takeaway,Fast Food,,100,"['Veg Fried Momos [8 Pieces]', 'Paneer Fried Momos [8 Pieces]', 'Paneer Cheese Fried Momos [8 Pieces]', 'Chicken Fried Momos [8 Pieces]', 'Chicken Cheese Fried Momos [8 Pieces, 1 Plate]', 'Veg Fried Momos [8 Pieces]', 'Paneer Fried Momos [8 Pieces]', 'Paneer Cheese Fried Momos [8 Pieces]', 'Chicken Fried Momos [8 Pieces]', 'Chicken Cheese Fried Momos [8 Pieces, 1 Plate]']",Delivery,BTM
"19, Teacher's Colony, 3rd Main Road, Jakkasandra Extension, Koramangala 1st Block",Desserts Tree,Yes,No,3.8,86,Koramangala 1st Block,Sweet Shop,Mithai,,100,,Delivery,BTM
"19, Teacher's Colony, 3rd Main Road, Jakkasandra Extension, Koramangala 1st Block",Desserts Tree,Yes,No,3.8,86,Koramangala 1st Block,Sweet Shop,Mithai,,100,,Delivery,HSR
"Old Market, V V Puram, Basavanagudi, Bangalore",Lassi Shop,Yes,No,3.7,21,Basavanagudi,Beverage Shop,Beverages,,100,,Delivery,Basavanagudi
"278, 34th Cross Road, 4th Block, Jayanagar, Bangalore",Kaapi Kendra,Yes,No,3.7,14,Jayanagar,Quick Bites,South Indian,,100,"['Aloo Samosa', 'Veg Puff Roll', 'Vada Pav', 'Egg Bhurji Puff Roll', 'Cold Coffee', 'Aloo Samosa', 'Veg Puff Roll', 'Paneer Puff Roll', 'Capsicum Stuffed Bun', 'Peanut Masala Bun', 'Masala Bun Maska', 'Vada Pav', 'Egg Bhurji Puff Roll', 'Masala Maggi', 'Veg Atta Maggi', 'Oats Maggi', 'Filter Coffee', 'Jaggery Filter Coffee', 'Black Coffee', 'Sugarless Coffee', 'Desi Chai', 'Ginger Chai', 'Masala Chai', 'Jaggery Chai', 'Sugarless Chai', 'Lemon Chai', 'Ginger Chai', 'Ginger Lemon Chai', 'Green Chai', 'Apple Ice Tea', 'Cranberry Ice Tea', 'Peach Ice Tea', 'Lemon Ice Tea', 'Ginger Lemon Ice Tea', 'Sweet Lassi', 'Masala Lassi', 'Chocolate Milkshake', 'Strawberry Milkshake', 'Mango Milkshake', 'Blackcurrant Milkshake', 'Cold Coffee']",Delivery,BTM
"24/1, 1st Main Rd Land mark, 8th Cross Rd, New Gurappana Palya, 1st Stage, BTM Layout, Bengaluru, Karnataka",Ice Cafe & Lassi Shop,Yes,No,3.7,26,BTM,Beverage Shop,Beverages,,100,,Delivery,BTM
"649, CMH Road, Indiranagar, Bangalore",Kolkatta Famous Chat,Yes,No,3.7,23,Indiranagar,Quick Bites,Street Food,,100,"['Pani Puri [6 Pieces]', 'Samosa Chaat', 'Masala Puri', 'Dahi Puri', 'Aloo Parotta', 'Pani Puri [6 Pieces]', 'Samosa Chaat', 'Kachori Chaat', 'Aloo Cutlet', 'Masala Puri', 'Sev Puri', 'Bhel Puri', 'Dahi Puri', 'Dahi Samosa', 'Dahi Kachori', 'Dahi Papdi', 'Dahi Tikki Papdi', 'Aloo Parotta', 'Gobi Parotta', 'Methi Parotta', 'Plain Parotta', 'Paneer Parotta', 'Mixed Parotta', 'Onion Parotta', 'Aloo Onion Mixed Parotta', 'Gobi Aloo Mixed Parotta', 'Methi Aloo Mixed Parotta', 'Gobi Onion Mixed Parotta', 'Paneer Onion Mixed Parotta', 'Plain Kachori', 'Plain Samosa', 'Plain Tikki']",Delivery,Frazer Town
"741, 18th Main Road, Koramangala 6th Block, Bangalore",Cane Crussh,Yes,No,3.7,15,Koramangala 6th Block,Beverage Shop,Juices,,100,,Delivery,HSR
"No-1/74,below brown tree,26th main,36th cross jayanagar, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041",UP Style North Indian Food,Yes,No,3.6,46,Jayanagar,"Takeaway, Delivery",North Indian,,100,,Delivery,Basavanagudi
"No-1/74,below brown tree,26th main,36th cross jayanagar, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041",UP Style North Indian Food,Yes,No,3.6,46,Jayanagar,"Takeaway, Delivery",North Indian,,100,,Delivery,BTM
"A11, Opposite Ranka Apartments, Bilekahalli, Bannerghatta Road, Bangalore",Bhavani Chats,Yes,No,3.6,34,Bannerghatta Road,Quick Bites,Street Food,,100,,Delivery,BTM
"27, 7th Main, 2nd Stage, BTM, Bangalore",Sri Sankara Cafe,Yes,No,3.6,26,BTM,Quick Bites,South Indian,,100,,Delivery,BTM
"970, 1st Block, 1st Main, Koramangala 1st Block, Bangalore",Shree Saraswathi Sweets Centre,Yes,No,3.6,18,Koramangala 1st Block,Sweet Shop,Mithai,,100,"['Spicy Mixture [1 Packet]', 'Khatta Meetha [1 Packet]', 'Marwadi Sev [1 Packet]', 'Besan Papadi [1 Packet]', 'Bhujia Bikaneri [1 Packet]', 'Potao Chips [1 Packet]', 'Bhakarwadi [1 Packet]', 'Samosa [1 Piece]', 'Dal Kachori [1 Piece]', 'Poha [1 Plate]', 'Moong Dal Barfi [250 grams]', 'Bashen Barfi [250 grams]', 'Moti Pak [250 grams]', 'Mysore Pak [250 grams]', 'Milk Cake [250 grams]', 'Jalebi [100 grams]', 'Rasagulla', 'Gulab Jamun', 'Rasagulla [Mini, 2 Pieces]', 'Jamun [2 Pieces, Mini]', 'Rasmalai [1 Cup]', 'Rabadi [1 Cup]', 'Dry Jamun', 'Malai Sandwich [1 Piece]', 'Malai Cham Cham [1 Piece]', 'Malai Chaap [1 Piece]', 'Champakali [1 Piece]', 'Dry Cham Cham [1 Piece]', 'Kaju Katli [250 grams]', 'Kaju Roll [250 grams]', 'Kaju Anjeer Roll [250 grams]', 'Kaju Anjeer Barfi [250 grams]', 'All Kaju Mixed [250 grams]', 'Coconut Barfi [250 grams]', 'Kalakan Barfi [250 grams]', 'Mawa Barfi [250 grams]', 'Agra Petha Barfi [1 Packet]', 'White Peda [250 grams, Big]', 'White Peda [250 grams, Small]', 'Yellow Peda [250 grams, Big]', 'Yellow Peda [250 grams, Small]', 'Motichur Laddu [250 grams]', 'Basan Laddu [250 grams]', 'Atta Gund [250 grams]', 'Dry Fruit Laddu [250 grams]']",Delivery,BTM
"Saptagiri Complex, Krishna Nagar, Industrial Layout, BTM, Bangalore",Just Sandwiches,Yes,No,3.6,10,BTM,Quick Bites,Sandwich,,100,,Delivery,BTM
"Saptagiri Complex, Krishna Nagar, Industrial Layout, BTM, Bangalore",Just Sandwiches,Yes,No,3.6,10,BTM,Quick Bites,Sandwich,,100,,Dine-out,BTM
"27, 7th Main, 2nd Stage, BTM, Bangalore",Sri Sankara Cafe,Yes,No,3.6,26,BTM,Quick Bites,South Indian,,100,,Dine-out,BTM
"8th Main Road, Vasanth Nagar, Vasanth Nagar, Bangalore",Kinara Tiffany,No,No,3.6,15,Vasanth Nagar,Quick Bites,South Indian,,100,,Delivery,Frazer Town
"970, 1st Block, 1st Main, Koramangala 1st Block, Bangalore",Shree Saraswathi Sweets Centre,Yes,No,3.6,18,Koramangala 1st Block,Sweet Shop,Mithai,,100,,Delivery,HSR
"55, Veerapali Street, Commercial Street, Bangalore",Rawal Jalebi,Yes,No,3.5,10,Commercial Street,Dessert Parlor,Desserts,,100,,Delivery,Brigade Road
"156, Veerapillai Street, Commercial Street, Bangalore",K V Canteen,No,No,3.5,17,Commercial Street,Quick Bites,South Indian,,100,,Dine-out,Brigade Road
"Ground Floor,Hotel Pent House,near hyderabadi biriyani house, Koramangala 5th Block, Bangalore",Chai Makhani,Yes,No,3.5,11,Koramangala 5th Block,Beverage Shop,Beverages,,100,,Delivery,BTM
"15, 24th Main Road, Ayodya Nagar, 5th Phase JP Nagar",The Juicy,Yes,No,3.5,13,JP Nagar,Beverage Shop,Beverages,,100,,Delivery,BTM
"Krimson Square, 31/9, Aayee Matha Temple Rd, Vinayaka Nagar, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560068",Bajji House,Yes,No,3.5,7,HSR,Quick Bites,Street Food,,100,"['Onion Pakoda [150 grams]', 'Raw Banana Bhaji [4 Pieces]', 'Aloo Bonda [4 Pieces]', 'Masala Vada [4 Pieces]', 'Fried Sweet Banana [2 Pieces]', 'Onion Pakoda [150 grams]', 'Raw Banana Bhaji [4 Pieces]', 'Fried Cauliflower [150 grams]', 'Aloo Bonda [4 Pieces]', 'Masala Vada [4 Pieces]', 'Sweet Banana Fillet [1 Piece]']",Delivery,BTM
"55, Veerapali Street, Commercial Street, Bangalore",Rawal Jalebi,Yes,No,3.5,9,Commercial Street,Dessert Parlor,Desserts,,100,,Delivery,Frazer Town
"Cantonment Railway Station, Frazer Town, Bangalore",Halli Mane Food Court,No,No,3.5,11,Frazer Town,Quick Bites,South Indian,,100,,Dine-out,Frazer Town
"156, Veerapillai Street, Commercial Street, Bangalore",K V Canteen,No,No,3.5,17,Commercial Street,Quick Bites,South Indian,,100,,Dine-out,Frazer Town
"Sarjapura Main Road Kaikondrahali Sarjapur Road, Bangalore",Poha On Wheels,Yes,No,3.5,9,Sarjapur Road,Quick Bites,Fast Food,,100,,Delivery,HSR
"Krimson Square, 31/9, Aayee Matha Temple Rd, Vinayaka Nagar, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560068",Bajji House,Yes,No,3.5,7,HSR,Quick Bites,Street Food,,100,,Delivery,HSR
"83/2, St Johns Road, Ulsoor, Bangalore",Lemon Rice,No,No,3.4,12,Ulsoor,Quick Bites,South Indian,,100,,Dine-out,Brigade Road
"1378, East End Circle, Jayanagar, Bangalore",Ambur Star Dum Biryani,Yes,No,3.4,17,Jayanagar,Quick Bites,Biryani,,100,,Delivery,BTM
"Shop 984, Btm 2nd Stage, 16th main, 7th cross, BTM, Bangalore",Lassi Berg,Yes,No,3.4,13,BTM,Takeaway,Juices,,100,,Delivery,BTM
"615, Janardhan Mansion, 32nd D Cross Road, 10th C Main Road, 4th Block, Jayanagar, Bangalore",AM WOW,Yes,No,3.4,6,Jayanagar,Beverage Shop,Beverages,,100,,Delivery,BTM
"33, 20th A Main, 13th Cross, Venkateshwara Layout, 1st Stage, BTM, Bangalore",Sri Durga Cane Fresh,No,No,3.4,5,BTM,Beverage Shop,Juices,,100,,Dine-out,BTM
"83/2, St Johns Road, Ulsoor, Bangalore",Lemon Rice,No,No,3.4,12,Ulsoor,Quick Bites,South Indian,,100,,Dine-out,Frazer Town
"9, Appa Rao Lane, Opposite Ulsoor Police Station, Ulsoor, Bangalore",Sri Krishna Foodline,No,No,3.3,4,Ulsoor,Quick Bites,North Indian,,100,,Delivery,Brigade Road
"9, Appa Rao Lane, Opposite Ulsoor Police Station, Ulsoor, Bangalore",Sri Krishna Foodline,No,No,3.3,4,Ulsoor,Quick Bites,North Indian,,100,,Dine-out,Brigade Road
"22nd Cross, 16th Main Road, Sector 3, Opposite SBI, HSR, Bangalore",Lassi Pot,Yes,No,3.3,7,HSR,Beverage Shop,Beverages,,100,,Delivery,BTM
"8th Main, Vasanth Nagar, Bangalore",Mount View Fast Food,Yes,No,3.3,4,Vasanth Nagar,Takeaway,Fast Food,,100,"['Masala Puri', 'Bhel Puri', 'Chips Masala', 'Samosa Chaat', 'Dahi Samosa Chaat', 'Masala Puri', 'Bhel Puri', 'Sev Puri', 'Aloo Puri', 'Pav Bhaji', 'Dahi Aloo Puri', 'Tomato Sev', 'Sukha Puri', 'Chips Masala', 'Samosa Chaat', 'Dahi Samosa Chaat', 'Mineral Water [1 litre]']",Delivery,Frazer Town
"1152, 22nd B Main Road, Garden Layout, Sector 2, HSR Layout, Bangalore",Cha-Cha Cha-Chi,No,No,3.3,4,HSR,Quick Bites,Fast Food,,100,,Delivery,HSR
"764, 22nd Cross, HSR Club Road, 3rd Sector, HSR Layout, Bangalore, HSR, Bangalore",Paanwadi,No,No,3.3,6,HSR,Dessert Parlor,Desserts,,100,,Delivery,HSR
"22nd Cross, 16th Main Road, Sector 3, Opposite SBI, HSR, Bangalore",Lassi Pot,No,No,3.3,7,HSR,Beverage Shop,Beverages,,100,,Delivery,HSR
"9th Cross 24th Main Near Thirurmala Theatre, HSR Layout, Bangalore",Shree Mahalakshmi Sweets,Yes,No,3.3,10,HSR,Sweet Shop,Mithai,,100,,Delivery,HSR
"161, Veerapillai Street, Commercial Street, Bangalore",Bharathi Dosa Camp,No,No,3.2,7,Commercial Street,Quick Bites,South Indian,,100,,Dine-out,Brigade Road
"502 6th Cross Rd, Koramangala 6th Block, Bangalore",Sri Ganesh Fruit Juice Centre,Yes,No,3.2,4,Koramangala 6th Block,Beverage Shop,Juices,,100,"['Mosambi Juice', 'Watermelon Juice', 'Veg Grilled Sandwich', 'Mosambi Juice', 'Pomegranate Juice', 'Mosambi Juice', 'Orange Juice', 'Grapes Juice', 'Pineapple Juice', 'Watermelon Juice', 'Mix Fruit Juice', 'Muskmelon Juice', 'Pomegranate Juice', 'Lime Juice', 'Pudina Juice', 'Pudina Ginger Lime Juice', 'Lime Soda Juice', 'Arabian Grapes Puppys', 'Black Jeera Soda', 'Carrot Juice', 'Beetroot Juice', 'ABC Juice', 'Tomato Juice', 'Veg Grilled Sandwich', 'Top Cheese Veg Grilled Sandwich', 'Veg Cheese Grilled Sandwich', 'Cheese Grilled Sandwich', 'Onion Cheese Grilled Sandwich', 'Chilly Cheese Grilled Sandwich', 'Potato Cheese Grilled Sandwich', 'Potato Onion Cheese Grilled Sandwich', 'Tomato Cheese Grilled Sandwich', 'Tomato Onion Cheese Grilled Sandwich', 'Onion Capsicum Cheese Grilled Sandwich', 'Jam Cheese Grilled Sandwich', 'Paneer Veg Cheese Grilled Sandwich', 'Bread Butter Jam Grilled Sandwich', 'Paneer Cheese Grilled Sandwich', 'Mushroom Veg Chilly Cheese Sandwich', 'Mushroom Onion Cheese Sandwich', 'Mushroom Tomato Cheese Sandwich', 'Mushroom Capsicum Cheese Sandwich', 'Mushroom Cheese Grilled Sandwich', 'Mushroom Paneer Cheese Sandwich', 'Chocolate Cheese Sandwich', 'Veg Maggi', 'Paneer Maggi', 'Cheese Maggi', 'Mushroom Maggi', 'Plain Maggi', 'Mosambi Juice', 'Orange Juice', 'Grapes Juice', 'Pineapple Juice', 'Watermelon Juice', 'Mix Fruit Juice', 'Muskmelon Juice', 'Pomegranate Juice', 'Lime Juice', 'Pudina Juice', 'Pudina Ginger Lime Juice', 'Lime Soda Juice', 'Arabian Grapes Puppys', 'Black Jeera Soda', 'Carrot Juice', 'Beetroot Juice', 'ABC Juice', 'Tomato Juice', 'Sweet Lassi', 'Salted Lassi', 'Mango Lassi', 'Banana Lassi', 'Chocolate Lassi', 'Fruit Lassi', 'Sapota Milkshake', 'Banana Milkshake', 'Papaya Milkshake', 'Mango Milkshake', 'Apple Milkshake', 'Strawberry Milkshake', 'Dates Milkshake', 'Chocolate Beverage Milkshake', 'Cold Coffee Milkshake', 'Oreo Milkshake', 'Nannari Soda', 'Nannari Juice', 'Nannari Milkshake', 'Wheatgrass with Lemon Juice', 'Wheatgrass with Banana Juice', 'Wheatgrass with Watermelon Juice', 'Wheatgrass with Orange Juice', 'Wheatgrass with Apple Juice', 'Wheatgrass with Pomegranate Juice', 'Wheatgrass Electric Cocktail']",Delivery,BTM
"103, 1st Cross, New Gurappana Palya, 1st Stage, BTM, Bangalore",The Chaat Shop,No,No,3.2,9,BTM,Quick Bites,Street Food,,100,,Delivery,BTM
"161, Veerapillai Street, Commercial Street, Bangalore",Bharathi Dosa Camp,No,No,3.2,7,Commercial Street,Quick Bites,South Indian,,100,,Dine-out,Frazer Town
"Shop 40, Coles Road, Frazer Town, Bangalore",Pooja Veg,Yes,No,3.1,9,Frazer Town,Quick Bites,South Indian,,100,,Delivery,Brigade Road
"9, Sai Baba Temple Rd, Silver Springs Layout, Munnekollal, Marathahalli, Bangalore",Pani Puri,No,No,3.1,8,Marathahalli,Quick Bites,Street Food,,100,,Dine-out,Brookefield
"4, 1st Main, Koramangala 1st Block, Bangalore",Chaiwala,Yes,No,3.1,53,Koramangala 1st Block,Quick Bites,Fast Food,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",100,,Delivery,BTM
"104, 1st Cross, 20th Main Road, Maruthi Nagar Main Road, BTM, Bangalore",Smoothie Hub,Yes,No,3.1,4,BTM,Beverage Shop,Beverages,,100,,Delivery,BTM
"Opposite IBM, Near Big Bazar, Bannerghatta Road, Bangalore",Kolkata Famous Kati Rolls,Yes,No,3.1,25,Bannerghatta Road,"Takeaway, Delivery",Fast Food,,100,"['Double Paneer Roll', 'Mixed Veg Paneer Roll', 'Egg Paneer Roll', 'Egg Chicken Roll', 'Double Chicken Roll', 'Double Egg Double Chicken Roll', 'Mixed Veg Roll', 'Paneer Roll', 'Double Paneer Roll', 'Mixed Veg Paneer Roll', 'Double Mixed Veg Roll', 'Egg Paneer Roll', 'Mixed Veg Egg Roll', 'Egg Roll', 'Double Egg Roll', 'Chicken Roll', 'Egg Chicken Roll', 'Double Chicken Roll', 'Double Egg Chicken Roll', 'Double Egg Double Chicken Roll']",Delivery,BTM
"Shop 40, Coles Road, Frazer Town, Bangalore",Pooja Veg,Yes,No,3.1,9,Frazer Town,Quick Bites,South Indian,,100,,Delivery,Frazer Town
"Shop 40, Coles Road, Frazer Town, Bangalore",Pooja Veg,Yes,No,3.1,9,Frazer Town,Quick Bites,South Indian,,100,,Dine-out,Frazer Town
"4, 1st Main, Koramangala 1st Block, Bangalore",Chaiwala,Yes,No,3.1,53,Koramangala 1st Block,Quick Bites,Fast Food,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",100,,Delivery,HSR
"No 49, Nehru Main Road, Kammnahalli, Banglore, Sarvagna Nagar, B.B.M.P. East",NTR Cafe,Yes,No,2.9,4,Kammanahalli,Quick Bites,Chinese,,100,"['Fried Rice', 'Noodles', 'Gobi Manchurian', 'Mushroom Pepper Fry', 'Paneer Chilly', 'Gobi Manchurian', 'Paneer Pepper Fry', 'Gobi Chilly', 'Mushroom Pepper Fry', 'Paneer Chilly', 'Baby Corn Manchurian', 'Aloo Rice', 'Fried Rice', 'Noodles', 'Pav Bhaji', 'Vada Pav', 'Cheese Vada Pav', 'Samosa', 'Kachori', 'Bread Sandwich', 'Chai', 'Coffee', 'Green Chai', 'Sulaimani Tea', 'Black Coffee', 'Ginger Chai', 'Clove Chai', 'Cinnamon Chai', 'Elaichi Chai', 'Chai', 'Coffee', 'Green Chai', 'Black Coffee', 'Ginger Chai', 'Clove Chai', 'Cinnamon Chai', 'Elaichi Chai']",Delivery,Frazer Town
"1-90/18, 100 Feet Ring Road, 9th Main Road, 1st Stage, BTM, Bangalore",Natural Mumbai Kulfi,Yes,No,3.5,8,BTM,Dessert Parlor,Ice Cream,,130,,Delivery,BTM
"Near Ulsoor Gate Police Station, Cubbonpet, City Market, Bangalore",Chikkanna Tiffin Room,No,No,4.5,203,City Market,Quick Bites,South Indian,"Masala Dosa, Khali Dosa, Kali Dosa, Gini Dosa, Idli, Potato Masala, Coffee",150,,Dine-out,Brigade Road
"150, 9th Main Road, Sector 6, HSR, Bangalore",Raghavendra Tiffin,No,No,4.4,222,HSR,Quick Bites,South Indian,"Idli Sambar, Bisi Bele Bhaath, Podi Masala Dosa, Tea, Filter Coffee, Curd Rice, Vada",150,,Dine-out,HSR
"65/1C, Shiv Ganga Complex, Near Wipro Corporate Office, Kaikondrahalli, Sarjapur Road, Bangalore",Natural Ice Cream,No,No,4.3,384,Sarjapur Road,Dessert Parlor,Ice Cream,"Mango Ice Cream, Coffee Walnut, Waffle Cone, Tender Coconut Ice Cream, Custard Apple, Kesar Pista, Chips",150,,Dine-out,Bellandur
